Player,Pos,Mat,Inns,NO,Runs,HS,Avg,BF,SR,Hundreds,Fifties,Fours,Sixes,CLUSTER
Manoj Tiwary,39,78,68,22,1324,75,28.78,1169,113.25,0,5,121,28,2
Saurabh Tiwary,46,80,63,19,1224,61,27.81,1024,119.53,0,6,84,45,2
Brad Hodge,37,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43,2
Francois du Plessis,43,51,45,3,1287,73,30.64,1005,128.05,0,8,109,38,2
Tillakaratne Dilshan,47,52,50,7,1153,76,26.81,1007,114.49,0,9,140,24,2
Ravindra Jadeja,33,126,99,31,1574,48,23.14,1297,121.35,0,0,112,53,2
Matthew Hayden,49,32,32,2,1107,93,36.9,805,137.51,0,8,121,44,2
Wriddhiman Saha,40,90,69,18,1323,115,25.94,1004,131.77,1,5,110,49,2
Aaron Finch,42,52,51,5,1304,88,28.34,1049,124.3,0,11,145,40,2
Naman Ojha,35,98,88,18,1474,94,21.05,1244,118.48,0,6,119,76,2
Dwayne Bravo,44,106,83,28,1262,70,22.94,999,126.32,0,4,102,48,2
Irfan Pathan,48,102,81,29,1137,60,21.86,943,120.57,0,1,87,37,2
Steve Smith,45,54,47,13,1231,101,36.2,906,135.87,1,2,112,33,2
David Hussey,41,64,61,12,1322,71,26.97,1075,122.97,0,5,90,60,2
David Miller,34,61,60,19,1480,101,36.09,1025,144.39,1,8,100,74,2
Sourav Ganguly,38,59,56,3,1348,91,25.43,1262,106.81,0,7,137,42,2
Subramaniam Badrinath,36,95,67,20,1441,71,30.65,1212,118.89,0,11,154,28,2
