Player,Pos,Mat,Inns,NO,Runs,HS,Avg,BF,SR,Hundreds,Fifties,Fours,Sixes,CLUSTER
Yusuf Pathan,11,134,122,32,2761,100,30.67,1881,146.78,1,12,230,140,3
Ajinkya Rahane,13,95,89,13,2675,103,35.19,2212,120.93,1,23,285,51,3
Brendon McCullum,17,92,92,5,2434,158,27.97,1881,129.39,2,11,248,106,3
Sachin Tendulkar,20,78,78,11,2334,100,34.83,1948,119.81,1,13,295,29,3
Virender Sehwag,12,104,104,5,2728,122,27.55,1755,155.44,2,16,334,106,3
Yuvraj Singh,19,108,105,13,2335,83,25.38,1795,130.08,0,10,174,133,3
Shane Watson,14,94,91,13,2551,104,32.7,1813,140.7,2,14,251,121,3
Jacques Kallis,18,98,96,11,2427,89,28.55,2222,109.22,0,17,255,44,3
Ambati Rayudu,21,109,102,18,2325,81,27.67,1837,126.56,0,13,198,76,3
Murali Vijay,16,100,100,5,2511,127,26.43,2035,123.39,2,13,237,89,3
Dinesh Karthik,15,138,121,14,2542,86,23.75,2046,124.24,0,12,256,60,3
