Player,Pos,Mat,Inns,NO,Runs,HS,Avg,BF,SR,Hundreds,Fifties,Fours,Sixes,CLUSTER
Angelo Mathews,71,46,40,11,692,65,23.86,548,126.27,0,1,42,28,4
Albie Morkel,55,91,68,28,974,73,24.35,686,141.98,0,3,61,55,4
Kevin Pietersen,52,36,36,9,1001,103,37.07,743,134.72,1,4,91,40,4
Venugopal Rao,53,65,54,10,985,71,22.38,836,117.82,0,3,77,37,4
Manan Vohra,68,34,32,2,728,67,24.26,562,129.53,0,2,72,26,4
Andrew Symonds,54,39,36,9,974,117,36.07,750,129.86,1,5,74,41,4
Tirumalasetti Suman,74,43,40,8,676,78,21.12,575,117.56,0,2,55,26,4
Abhishek Nayar,75,60,50,12,672,45,17.68,577,116.46,0,0,55,20,4
Herschelle Gibbs,60,36,36,4,886,69,27.68,807,109.78,0,6,83,31,4
Harbhajan Singh,65,125,77,30,783,64,16.65,545,143.66,0,1,76,40,4
Sanath Jayasuriya,66,30,30,2,768,114,27.42,532,144.36,1,4,84,39,4
Lokesh Rahul,70,39,30,6,725,68,30.2,577,125.64,0,4,61,24,4
Graeme Smith,67,29,29,3,739,91,28.42,668,110.62,0,4,94,9,4
Stuart Binny,73,72,51,19,688,48,21.5,528,130.3,0,0,53,26,4
Eoin Morgan,63,48,41,5,789,66,21.91,643,122.7,0,4,66,32,4
Lendl Simmons,57,22,22,2,942,100,47.1,740,127.29,1,9,99,36,4
Manvinder Bisla,62,39,39,1,798,92,21.0,702,113.67,0,4,93,23,4
Moises Henriques,72,45,39,11,692,74,24.71,553,125.13,0,2,59,23,4
George Bailey,76,40,37,10,663,61,24.55,544,121.87,0,2,59,19,4
Mandeep Singh,58,59,49,4,924,77,20.53,743,124.36,0,4,113,14,4
Ross Taylor,51,55,54,14,1017,81,25.42,822,123.72,0,3,66,46,4
Quinton de Kock,69,26,26,1,726,108,29.04,549,132.24,1,5,90,21,4
Karun Nair,61,41,37,4,877,83,26.57,686,127.84,0,7,96,20,4
Mayank Agarwal,64,50,45,2,788,68,18.32,633,124.48,0,3,79,33,4
Cameron White,56,47,45,9,954,78,26.5,755,126.35,0,6,76,36,4
Glenn Maxwell,59,43,43,4,918,95,23.53,568,161.61,0,6,76,56,4
Sanju Samson,50,52,48,6,1040,76,24.76,873,119.12,0,5,80,38,4
