Player,Pos,Mat,Inns,NO,Runs,HS,Avg,BF,SR,Hundreds,Fifties,Fours,Sixes,CLUSTER
Harmeet Singh Bansal,320,27,6,2,18,14,4.5,12,150.0,0,0,3,0,0
Robin Peterson,277,5,5,2,32,16,10.66,30,106.66,0,0,3,1,0
Arindam Ghosh,362,2,2,0,7,7,3.5,8,87.5,0,0,1,0,0
Lasith Malinga,211,98,23,7,81,17,5.06,96,84.37,0,0,6,4,0
Dilhara Fernando,383,10,2,2,4,2,0.0,3,133.33,0,0,0,0,0
Jaskaran Singh,360,8,5,4,8,4,8.0,11,72.72,0,0,0,0,0
GR Napier,327,1,1,0,15,15,15.0,16,93.75,0,0,1,0,0
Sreenath Aravind,284,28,4,4,27,14,0.0,17,158.82,0,0,5,0,0
Vikramjeet Malik,364,13,2,1,7,6,7.0,7,100.0,0,0,1,0,0
D du Preez,350,2,1,0,10,10,10.0,13,76.92,0,0,0,0,0
Abhinav Mukund,310,3,2,0,19,19,9.5,22,86.36,0,0,1,0,0
LPC Silva,256,3,3,1,40,23,20.0,26,153.84,0,0,5,1,0
Mohammad Hafeez,301,8,3,1,20,13,10.0,22,90.9,0,0,2,1,0
Joginder Sharma,268,16,6,2,36,16,9.0,30,120.0,0,0,1,2,0
Sean Abbott,328,2,2,0,15,14,7.5,13,115.38,0,0,1,1,0
RS Sodhi,382,3,1,1,4,4,0.0,2,200.0,0,0,1,0,0
Colin Munro,280,4,3,0,30,16,10.0,30,100.0,0,0,3,0,0
Adrian Barath,251,3,3,1,42,33,21.0,42,100.0,0,0,5,1,0
J Arunkumar,291,3,3,0,23,22,7.66,23,100.0,0,0,5,0,0
Brad Haddin,318,1,1,0,18,18,18.0,11,163.63,0,0,2,1,0
Asad Pathan,259,8,7,2,39,14,7.8,23,169.56,0,0,5,2,0
Rahul Shukla,312,7,4,3,19,14,19.0,23,82.6,0,0,2,0,0
Darren Lehmann,317,2,2,0,18,17,9.0,18,100.0,0,0,3,0,0
Harshal Patel,247,35,14,5,47,10,5.22,34,138.23,0,0,2,3,0
Amit Yadav,240,8,6,1,49,16,9.8,39,125.64,0,0,5,2,0
Juan Theron,353,10,4,2,10,7,5.0,12,83.33,0,0,1,0,0
P Parameswaran,413,5,1,1,1,1,0.0,1,100.0,0,0,0,0,0
Abhimanyu Mithun,272,16,8,3,34,11,6.8,26,130.76,0,0,4,1,0
Dimitri Mascarenhas,214,13,11,2,79,27,8.77,78,101.28,0,0,5,1,0
Doug Bollinger,298,27,4,3,21,16,21.0,23,91.3,0,0,1,1,0
Ishank Jaggi,249,5,5,1,43,25,10.75,58,74.13,0,0,3,0,0
SS Shaikh,372,2,1,0,6,6,6.0,7,85.71,0,0,1,0,0
Sumit Narwal,264,7,4,1,37,23,12.33,27,137.03,0,0,6,0,0
Doug Bracewell,339,1,1,1,12,12,0.0,9,133.33,0,0,1,0,0
VS Yeligati,405,2,1,0,2,2,2.0,2,100.0,0,0,0,0,0
Rahul Tewatia,324,4,1,0,16,16,16.0,13,123.07,0,0,0,1,0
Chris Jordan,389,9,1,0,3,3,3.0,4,75.0,0,0,0,0,0
Damien Martyn,308,1,1,0,19,19,19.0,24,79.16,0,0,1,0,0
Ankeet Chavan,338,13,3,1,12,7,6.0,11,109.09,0,0,2,0,0
Siddharth Trivedi,252,76,15,8,42,9,6.0,59,71.18,0,0,3,1,0
Mashrafe Mortaza,396,1,1,1,2,2,0.0,2,100.0,0,0,0,0,0
Nic Maddinson,305,3,3,0,20,12,6.66,21,95.23,0,0,4,0,0
Lakshmipathy Balaji,267,73,15,7,36,15,4.5,49,73.46,0,0,2,1,0
MA Khote,289,4,3,1,24,9,12.0,22,109.09,0,0,2,1,0
Bodapati Sumanth,270,5,4,3,35,16,35.0,37,94.59,0,0,3,0,0
Brad Hogg,297,21,6,3,22,13,7.33,22,100.0,0,0,1,0,0
DT Patil,335,2,2,0,13,9,6.5,13,100.0,0,0,1,0,0
Pradeep Sangwan,296,33,10,6,22,6,5.5,31,70.96,0,0,1,0,0
Raiphi Gomez,238,13,9,4,50,26,10.0,51,98.03,0,0,5,1,0
Tim Southee,244,26,8,3,47,25,9.4,32,146.87,0,0,3,2,0
Bhargav Bhatt,368,17,2,1,6,6,6.0,7,85.71,0,0,0,1,0
SB Bangar,241,12,8,1,49,17,7.0,58,84.48,0,0,1,3,0
