S Kaushik,426,7,2,1,0,0,0.0,1,0.0,0,0,0,0,0
Ajantha Mendis,390,10,3,1,3,2,1.5,6,50.0,0,0,0,0,0
Krishmar Santokie,446,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0
R Bishnoi,309,3,3,0,19,18,6.33,17,111.76,0,0,1,2,0
Sachithra Senanayake,347,8,4,3,10,7,10.0,17,58.82,0,0,0,0,0
Michael Neser,423,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0
Raju Bhatkal,434,1,1,0,0,0,0.0,2,0.0,0,0,0,0,0
Vijay Shankar,456,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0
Ben Hilfenhaus,433,17,1,1,0,0,0.0,0,0.0,0,0,0,0,0
Aavishkar Salvi,441,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0
Siddharth Trivedi,252,76,15,8,42,9,6.0,59,71.18,0,0,3,1,0
Damien Martyn,308,1,1,0,19,19,19.0,24,79.16,0,0,1,0,0
Mahesh Rawat,230,18,12,7,55,23,11.0,69,79.71,0,0,4,1,0
C Nanda,418,3,1,0,0,0,0.0,1,0.0,0,0,0,0,0
Mohammad Hafeez,301,8,3,1,20,13,10.0,22,90.9,0,0,2,1,0
Yo Mahesh,329,18,5,3,15,6,7.5,27,55.55,0,0,0,0,0
Abdur Razzak,459,1,1,1,0,0,0.0,2,0.0,0,0,0,0,0
Jasprit Bumrah,356,31,5,4,9,6,9.0,14,64.28,0,0,1,0,0
RA Shaikh,455,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0
Nikhil Naik,292,2,2,0,23,22,11.5,31,74.19,0,0,1,0,0
SS Shaikh,372,2,1,0,6,6,6.0,7,85.71,0,0,1,0,0
Ashok Dinda,314,75,16,7,19,6,2.11,41,46.34,0,0,1,0,0
Jayant Yadav,370,8,2,0,6,5,3.0,10,60.0,0,0,0,0,0
CJ Jordan,389,9,1,0,3,3,3.0,4,75.0,0,0,0,0,0
Muttiah Muralitharan,303,66,9,3,20,6,3.33,30,66.66,0,0,1,0,0
Yashpal Singh,243,8,4,0,47,20,11.75,66,71.21,0,0,5,0,0
Brett Geeves,458,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0
C Madan,326,1,1,0,15,15,15.0,19,78.94,0,0,3,0,0
Ishwar Pandey,449,25,1,0,0,0,0.0,2,0.0,0,0,0,0,0
Mashrafe Mortaza,396,1,1,1,2,2,0.0,2,100.0,0,0,0,0,0
Ryan Ninan,393,2,1,0,3,3,3.0,6,50.0,0,0,0,0,0
DNT Zoysa,346,3,2,1,11,10,11.0,9,122.22,0,0,1,0,0
Murugan Ashwin,424,10,1,0,0,0,0.0,1,0.0,0,0,0,0,0
Trent Boult,437,8,0,0,0,0,0.0,0,0.0,0,0,0,0,0
JM Kemp,285,5,2,0,26,22,13.0,24,108.33,0,0,1,1,0
Sarabjit Ladda,462,9,2,1,0,0,0.0,9,0.0,0,0,0,0,0
