Batsman,Bowler,0s,1s,2s,3s,4s,6s,Dismissal,Runs,Balls,SR
MK Tiwary,WPUJC Vaas,0,0,0,0,0,0,1,0,1,0.00
BJ Hodge,WPUJC Vaas,1,0,0,0,0,0,0,0,1,0.00
BJ Hodge,RP Singh,1,1,0,0,0,1,0,7,3,233.33
BJ Hodge,Jaskaran Singh,1,2,0,0,1,0,1,6,5,120.00
SC Ganguly,WPUJC Vaas,2,0,0,0,0,0,1,0,3,0.00
CA Pujara,WPUJC Vaas,6,0,0,0,1,0,0,4,7,57.14
CA Pujara,RP Singh,4,1,0,0,1,0,1,5,7,71.42
CA Pujara,Jaskaran Singh,1,1,0,0,0,0,0,1,2,50.00
OA Shah,WPUJC Vaas,1,1,0,0,1,1,0,11,4,275.00
OA Shah,RP Singh,2,2,0,0,0,0,0,2,4,50.00
OA Shah,Jaskaran Singh,2,2,1,0,0,1,0,10,6,166.66
OA Shah,PP Ojha,7,6,1,0,1,0,0,12,15,80.00
OA Shah,A Symonds,3,8,1,0,0,1,0,16,13,123.07
OA Shah,TL Suman,1,1,1,0,1,0,0,7,4,175.00
AD Mathews,WPUJC Vaas,0,1,0,0,0,1,0,7,2,350.00
AD Mathews,RP Singh,4,2,1,0,2,1,0,18,10,180.00
AD Mathews,Jaskaran Singh,5,3,0,0,2,1,0,17,11,154.54
AD Mathews,PP Ojha,5,3,0,0,1,0,0,7,9,77.77
AD Mathews,A Symonds,5,4,2,0,0,0,0,8,11,72.72
AD Mathews,TL Suman,0,2,0,0,0,1,0,8,3,266.66
AC Gilchrist,CK Langeveldt,2,2,2,0,0,1,0,12,7,171.42
AC Gilchrist,I Sharma,2,2,0,0,2,0,0,10,6,166.66
AC Gilchrist,LR Shukla,1,1,1,0,0,1,0,9,4,225.00
AC Gilchrist,M Kartik,2,3,0,0,1,0,0,7,6,116.66
AC Gilchrist,AD Mathews,1,6,0,0,0,0,0,6,7,85.71
AC Gilchrist,BJ Hodge,0,2,1,0,0,1,1,10,5,200.00
VVS Laxman,CK Langeveldt,2,2,0,0,1,0,0,6,5,120.00
VVS Laxman,I Sharma,1,3,1,0,1,0,0,9,6,150.00
VVS Laxman,LR Shukla,0,1,0,0,0,1,0,7,2,350.00
VVS Laxman,M Kartik,0,0,0,0,0,0,1,0,1,0.00
HH Gibbs,CK Langeveldt,1,0,0,0,0,0,1,0,2,0.00
HH Gibbs,M Kartik,4,0,1,0,0,0,0,2,5,40.00
HH Gibbs,AD Mathews,5,4,1,0,2,0,0,14,12,116.66
HH Gibbs,BJ Hodge,2,3,0,0,0,0,0,3,5,60.00
A Symonds,CK Langeveldt,2,1,0,0,0,0,0,1,3,33.33
A Symonds,I Sharma,0,0,0,0,0,0,1,0,1,0.00
A Symonds,M Kartik,1,1,1,0,0,0,0,3,3,100.00
A Symonds,BJ Hodge,1,1,0,0,0,0,0,1,2,50.00
RG Sharma,CK Langeveldt,0,1,0,0,0,0,0,1,1,100.00
RG Sharma,I Sharma,2,1,0,0,1,0,0,5,4,125.00
RG Sharma,LR Shukla,0,2,0,0,0,0,0,2,2,100.00
RG Sharma,M Kartik,1,1,0,0,1,0,0,5,3,166.66
RG Sharma,AD Mathews,1,0,0,0,0,0,1,0,2,0.00
Anirudh Singh,I Sharma,0,1,0,0,0,0,0,1,1,100.00
Anirudh Singh,LR Shukla,3,2,3,0,1,0,1,12,10,120.00
Anirudh Singh,AD Mathews,2,1,0,0,0,0,0,1,3,33.33
TL Suman,CK Langeveldt,1,2,0,0,0,0,0,2,3,66.66
TL Suman,I Sharma,4,1,0,0,0,0,0,1,5,20.00
TL Suman,AD Mathews,0,0,0,0,1,0,0,4,1,400.00
WPUJC Vaas,CK Langeveldt,0,0,0,0,0,0,1,0,1,0.00
Jaskaran Singh,CK Langeveldt,1,1,0,0,0,0,0,1,2,50.00
Jaskaran Singh,I Sharma,0,1,1,0,0,0,0,3,2,150.00
