Kuldeep Yadav,179,3,3,12.0,100,6,3/35,16.66,8.33,12.0,0,0,0
LA Carseldine,255,5,1,1.0,6,1,0/0,6.0,6.0,6.0,0,0,0
Robin Peterson,226,5,4,8.0,70,3,3/37,23.33,8.75,16.0,0,0,0
Samuel Badree,238,5,5,18.0,131,2,1/19,65.5,7.27,54.0,0,0,0
Love Ablish,230,3,3,7.0,75,3,2/17,25.0,10.71,14.0,0,0,0
GR Napier,259,1,1,4.0,27,1,1/27,27.0,6.75,24.0,0,0,0
Manoj Tiwary,282,78,5,6.0,73,1,0/0,73.0,12.16,36.0,0,0,0
D du Preez,204,2,2,7.0,56,4,3/32,14.0,8.0,10.5,0,0,0
LPC Silva,328,3,1,1.0,21,0,0/0,0.0,21.0,0.0,0,0,0
Mohammad Hafeez,253,8,2,5.0,24,1,1/8,24.0,4.8,30.0,0,0,0
Sean Abbott,310,2,2,5.0,57,0,0/0,0.0,11.4,0.0,0,0,0
Colin Munro,293,4,2,2.0,15,0,0/0,0.0,7.5,0.0,0,0,0
Abhishek Jhunjhunwala,266,21,10,14.1,129,1,1/13,129.0,9.1,85.0,0,0,0
Domnic Joseph,202,6,6,14.0,101,4,2/18,25.25,7.21,21.0,0,0,0
Gajendra Singh,229,4,4,14.0,141,3,1/33,47.0,10.07,28.0,0,0,0
C Nanda,236,3,3,8.0,57,2,1/4,28.5,7.12,24.0,0,0,0
TP Sudhindra,281,3,3,11.4,136,1,1/46,136.0,11.65,70.0,0,0,0
Asad Pathan,305,8,3,6.3,63,0,0/0,0.0,9.69,0.0,0,0,0
P Parameswaran,210,5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0,0
Raju Bhatkal,324,1,1,2.0,35,0,0/35,0.0,17.5,0.0,0,0,0
Yogesh Nagar,217,26,8,11.0,125,4,2/20,31.25,11.36,16.5,0,0,0
Doug Bracewell,224,1,1,4.0,32,3,3/32,10.66,8.0,8.0,0,0,0
VS Yeligati,311,2,2,5.0,59,0,0/0,0.0,11.8,0.0,0,0,0
Rahul Tewatia,222,4,4,12.0,90,3,1/17,30.0,7.5,24.0,0,0,0
Pat Cummins,241,4,4,14.0,126,2,1/29,63.0,9.0,42.0,0,0,0
RA Shaikh,309,1,1,1.0,11,0,0/11,0.0,11.0,0.0,0,0,0
Gurkeerat Mann Singh,189,28,6,13.0,97,5,2/15,19.4,7.46,15.6,0,0,0
Francois du Plessis,321,51,1,1.0,16,0,0/0,0.0,16.0,0.0,0,0,0
K Goel,300,22,6,11.0,93,0,0/0,0.0,8.45,0.0,0,0,0
Mashrafe Mortaza,317,1,1,4.0,58,0,0/58,0.0,14.5,0.0,0,0,0
Mithun Manhas,286,55,3,7.0,42,0,0/0,0.0,6.0,0.0,0,0,0
Swapnil Singh,303,1,1,3.0,29,0,0/29,0.0,9.66,0.0,0,0,0
SB Joshi,265,4,4,9.1,82,1,1/27,82.0,8.94,55.0,0,0,0
D Kalyankrishna,249,3,3,8.0,87,2,1/30,43.5,10.87,24.0,0,0,0
MA Khote,247,4,2,5.0,51,2,2/29,25.5,10.2,15.0,0,0,0
Abhishek Raut,296,22,6,7.0,57,0,0/0,0.0,8.14,0.0,0,0,0
Paul Collingwood,187,8,6,14.5,101,5,2/19,20.2,6.8,17.8,0,0,0
