T1_Bat_Order,T1_Bow_Order,T2_Bat_Order,T2_Bow_Order
Chris Gayle,Sreenath Aravind,Quinton de Kock,Zaheer Khan
Virat Kohli,Parveez Rasool,Shreyas Iyer,Chris Morris
AB de Villiers,Shane Watson,Sanju Samson,Mohammed Shami
Shane Watson,Yuzvendra Chahal,Karun Nair,Pawan Negi
Sarfaraz Khan,David Wiese,JP Duminy,Amit Mishra
Kedar Jadhav,Harshal Patel,Carlos Brathwaite,Carlos Brathwaite
David Wiese,,Chris Morris,
Parveez Rasool,,Pawan Negi,
Harshal Patel,,Zaheer Khan,
Yuzvendra Chahal,,Amit Mishra,
Sreenath Aravind,,Mohammed Shami,
